taxonID,scientificName,family,genericName,specificEpithet,taxonRank,infraspecificEpithet,scientificNameAuthorship,kingdom
85,Allium sphaerocephalon L.,Liliaceae,Allium,sphaerocephalon,species,,L.,Plantae
87,Allium triquetrum L.,Liliaceae,Allium,triquetrum,species,,L.,Plantae
88,Allium ursinum L. subsp. ursinum,Liliaceae,Allium,ursinum,subsp.,ursinum,L.,Plantae
89,Allium victorialis L.,Liliaceae,Allium,victorialis,species,,L.,Plantae
90,Allium vineale L.,Liliaceae,Allium,vineale,species,,L.,Plantae
91,Alnus cordata (Loisel.) Duby,Betulaceae,Alnus,cordata,species,,(Loisel.) Duby,Plantae
92,Alnus glutinosa (L.) Gaertn.,Betulaceae,Alnus,glutinosa,species,,(L.) Gaertn.,Plantae
93,Alopecurus aequalis Sobol.,Gramineae,Alopecurus,aequalis,species,,Sobol.,Plantae
95,Alopecurus geniculatus L.,Gramineae,Alopecurus,geniculatus,species,,L.,Plantae
96,Alopecurus myosuroides Huds.,Gramineae,Alopecurus,myosuroides,species,,Huds.,Plantae
97,Alopecurus pratensis L.,Gramineae,Alopecurus,pratensis,species,,L.,Plantae
98,Alopecurus rendlei Eig.,Gramineae,Alopecurus,rendlei,species,,Eig.,Plantae
99,Althaea officinalis L.,Malvaceae,Althaea,officinalis,species,,L.,Plantae
100,Alyssum alyssoides (L.) L.,Cruciferae,Alyssum,alyssoides,species,,(L.) L.,Plantae
103,Alyssum granatense Boiss. & Reut.,Cruciferae,Alyssum,granatense,species,,Boiss. & Reut.,Plantae
104,Alyssum simplex Rudolphi,Cruciferae,Alyssum,simplex,species,,Rudolphi,Plantae
105,Alyssum minutum DC.,Cruciferae,Alyssum,minutum,species,,DC.,Plantae
106,Alyssum montanum L.,Cruciferae,Alyssum,montanum,species,,L.,Plantae
107,Alyssum serpyllifolium Desf.,Cruciferae,Alyssum,serpyllifolium,species,,Desf.,Plantae
109,Amaranthus albus L.,Amaranthaceae,Amaranthus,albus,species,,L.,Plantae
110,Amaranthus blitum L. subsp. blitum,Amaranthaceae,Amaranthus,blitum,subsp.,blitum,L.,Plantae
112,Amaranthus deflexus L.,Amaranthaceae,Amaranthus,deflexus,species,,L.,Plantae
113,Amaranthus graecizans L. subsp. sylvestris (Vill.) Brenan,Amaranthaceae,Amaranthus,graecizans,subsp.,sylvestris,(Vill.) Brenan,Plantae
114,Amaranthus hybridus L.,Amaranthaceae,Amaranthus,hybridus,species,,L.,Plantae
115,Amaranthus powellii S. Watson,Amaranthaceae,Amaranthus,powellii,species,,S. Watson,Plantae
116,Amaranthus retroflexus L.,Amaranthaceae,Amaranthus,retroflexus,species,,L.,Plantae
119,Brunsvigia rosea (Lam.) Hannibal,Amaryllidaceae,Brunsvigia,rosea,species,,(Lam.) Hannibal,Plantae
120,Ambrosia artemisiifolia L.,Compositae,Ambrosia,artemisiifolia,species,,L.,Plantae
121,Amelanchier ovalis Medik.,Rosaceae,Amelanchier,ovalis,species,,Medik.,Plantae
122,Ammi majus L.,Umbelliferae,Ammi,majus,species,,L.,Plantae
124,Ammoides pusilla (Brot.) Breistr.,Umbelliferae,Ammoides,pusilla,species,,(Brot.) Breistr.,Plantae
127,Anacamptis pyramidalis (L.) Rich.,Orchidaceae,Anacamptis,pyramidalis,species,,(L.) Rich.,Plantae
128,Anacyclus clavatus (Desf.) Pers.,Compositae,Anacyclus,clavatus,species,,(Desf.) Pers.,Plantae
129,Anacyclus radiatus Loisel. subsp. radiatus,Compositae,Anacyclus,radiatus,subsp.,radiatus,Loisel.,Plantae
131,Anagallis arvensis L.,Primulaceae,Anagallis,arvensis,species,,L.,Plantae
132,Anagallis foemina Mill.,Primulaceae,Anagallis,foemina,species,,Mill.,Plantae
133,Centunculus minimus L.,Primulaceae,Centunculus,minimus,species,,L.,Plantae
134,Anagallis monelli L.,Primulaceae,Anagallis,monelli,species,,L.,Plantae
135,Anagallis tenella (L.) L.,Primulaceae,Anagallis,tenella,species,,(L.) L.,Plantae
136,Anarrhinum bellidifolium (L.) Willd.,Scrophulariaceae,Anarrhinum,bellidifolium,species,,(L.) Willd.,Plantae
137,Anarrhinum duriminium (Brot.) Pers.,Scrophulariaceae,Anarrhinum,duriminium,species,,(Brot.) Pers.,Plantae
138,Lycopsis arvensis L.,Boraginaceae,Lycopsis,arvensis,species,,L.,Plantae
142,Anchusa undulata L. subsp. undulata,Boraginaceae,Anchusa,undulata,subsp.,undulata,L.,Plantae
143,Andryala integrifolia L.,Compositae,Andryala,integrifolia,species,,L.,Plantae
144,Andryala ragusina L.,Compositae,Andryala,ragusina,species,,L.,Plantae
145,Anemone nemorosa L.,Ranunculaceae,Anemone,nemorosa,species,,L.,Plantae
146,Anemone trifolia L. subsp. albida (Mariz) Ulbr.,Ranunculaceae,Anemone,trifolia,subsp.,albida,(Mariz) Ulbr.,Plantae
147,Anethum graveolens L.,Umbelliferae,Anethum,graveolens,species,,L.,Plantae
149,Angelica pachycarpa Lange,Umbelliferae,Angelica,pachycarpa,species,,Lange,Plantae
151,Angelica sylvestris L.,Umbelliferae,Angelica,sylvestris,species,,L.,Plantae
152,Anogramma leptophylla (L.) Link,Pteridaceae E.D.M. Kirchn.,Anogramma,leptophylla,species,,(L.) Link,Plantae
153,Antennaria dioica (L.) Gaertn.,Compositae,Antennaria,dioica,species,,(L.) Gaertn.,Plantae
154,Anthemis arvensis L. subsp. arvensis,Compositae,Anthemis,arvensis,subsp.,arvensis,L.,Plantae
155,Anthemis cotula L.,Compositae,Anthemis,cotula,species,,L.,Plantae
156,Anthemis cretica L. subsp. carpatica (Willd.) Grierson,Compositae,Anthemis,cretica,subsp.,carpatica,(Willd.) Grierson,Plantae
157,Cota triumfetti (L.) Gay,Compositae,Cota,triumfetti,species,,(L.) Gay,Plantae
158,Anthericum liliago L. subsp. Liliago,Liliaceae,Anthericum,liliago,subsp.,Liliago,,Plantae
159,Anthriscus sylvestris (L.) Hoffm.,Umbelliferae,Anthriscus,sylvestris,species,,(L.) Hoffm.,Plantae
160,Anthoxanthum odoratum L.,Gramineae,Anthoxanthum,odoratum,species,,L.,Plantae
161,Anthoxanthum amarum Brot.,Gramineae,Anthoxanthum,amarum,species,,Brot.,Plantae
162,Anthoxanthum ovatum Lag. subsp. aristatum (Boiss.) Litard.,Gramineae,Anthoxanthum,ovatum,subsp.,aristatum,(Boiss.) Litard.,Plantae
163,Anthriscus caucalis M. Bieb.,Umbelliferae,Anthriscus,caucalis,species,,M. Bieb.,Plantae
165,Dorycnopsis gerardi (L.) Boiss.,Leguminosae,Dorycnopsis,gerardi,species,,(L.) Boiss.,Plantae
169,Anthyllis vulneraria L. subsp. gandogeri (Sagorski) W. Becker ex Maire,Leguminosae,Anthyllis,vulneraria,subsp.,gandogeri,(Sagorski) W. Becker ex Maire,Plantae
170,Antinoria agrostidea (Lam. & DC.) Parl. subsp. agrostidea,Gramineae,Antinoria,agrostidea,subsp.,agrostidea,(Lam. & DC.) Parl.,Plantae
171,Antirrhinum linkianum Boiss. & Reut.,Scrophulariaceae,Antirrhinum,linkianum,species,,Boiss. & Reut.,Plantae
172,Antirrhinum braun-blanquetii Rothm.,Scrophulariaceae,Antirrhinum,braun-blanquetii,species,,Rothm.,Plantae
173,Antirrhinum meonanthum Hoffmanns. & Link.,Scrophulariaceae,Antirrhinum,meonanthum,species,,Hoffmanns. & Link.,Plantae
176,Aphanes arvensis L.,Rosaceae,Aphanes,arvensis,species,,L.,Plantae
177,Aphanes cornucopioides Lag.,Rosaceae,Aphanes,cornucopioides,species,,Lag.,Plantae
179,Apium graveolens L.,Umbelliferae,Apium,graveolens,species,,L.,Plantae
180,Apium inundatum (L.) Rchb. fil.,Umbelliferae,Apium,inundatum,species,,(L.) Rchb. fil.,Plantae
181,Apium nodiflorum (L.) Lag.,Umbelliferae,Apium,nodiflorum,species,,(L.) Lag.,Plantae
182,Aquilegia vulgaris L. subsp. dichroa (Freyn ) T.E. Díaz,Ranunculaceae,Aquilegia,vulgaris,subsp.,dichroa,(Freyn ) T.E. Díaz,Plantae
184,Aquilegia vulgaris L. subsp. vulgaris,Ranunculaceae,Aquilegia,vulgaris,subsp.,vulgaris,L.,Plantae
185,Arabidopsis thaliana (L.) Heynh.,Cruciferae,Arabidopsis,thaliana,species,,(L.) Heynh.,Plantae
186,Arabis alpina L.,Cruciferae,Arabis,alpina,species,,L.,Plantae
187,Arabis auriculata Lam.,Cruciferae,Arabis,auriculata,species,,Lam.,Plantae
188,Arabis glabra (L.) Bernh.,Cruciferae,Arabis,glabra,species,,(L.) Bernh.,Plantae
189,Arabis hirsuta (L.) Scop.,Cruciferae,Arabis,hirsuta,species,,(L.) Scop.,Plantae
190,Arabis juresi Rothm.,Cruciferae,Arabis,juresi,species,,Rothm.,Plantae
192,Arabis stenocarpa Boiss. & Reut.,Cruciferae,Arabis,stenocarpa,species,,Boiss. & Reut.,Plantae
193,Araujia sericifera Brot.,Asclepiadaceae,Araujia,sericifera,species,,Brot.,Plantae
194,Arbutus unedo L.,Ericaceae,Arbutus,unedo,species,,L.,Plantae
197,Arctotheca calendula (L.) Levyns,Compositae,Arctotheca,calendula,species,,(L.) Levyns,Plantae
198,Arenaria erinacea Boiss.,Caryophyllaceae,Arenaria,erinacea,species,,Boiss.,Plantae
199,Arenaria grandiflora L. subsp. incrassata (Lange) C. Vicioso,Caryophyllaceae,Arenaria,grandiflora,subsp.,incrassata,(Lange) C. Vicioso,Plantae
200,Arenaria grandiflora L.subsp. grandiflora,Caryophyllaceae,Arenaria,grandiflora,subsp.,grandiflora,L.,Plantae
201,Arenaria leptoclados (Reichenb.) Guss.,Caryophyllaceae,Arenaria,leptoclados,species,,(Reichenb.) Guss.,Plantae
202,Arenaria montana L. subsp. montana,Caryophyllaceae,Arenaria,montana,subsp.,montana,L.,Plantae
203,Arenaria querioides Pourret ex Willk.,Caryophyllaceae,Arenaria,querioides,species,,Pourret ex Willk.,Plantae
205,Arenaria serpyllifolia L.,Caryophyllaceae,Arenaria,serpyllifolia,species,,L.,Plantae
206,Arisarum simorrhinum Durieu,Araceae,Arisarum,simorrhinum,species,,Durieu,Plantae
207,Aristolochia paucinervis Pomel,Aristolochiaceae,Aristolochia,paucinervis,species,,Pomel,Plantae
212,Armeria cantabrica Boiss. & Reut. ex Willk.,Plumbaginaceae,Armeria,cantabrica,species,,Boiss. & Reut. ex Willk.,Plantae
213,Armeria ciliata (Lange) Nieto Fel.,Plumbaginaceae,Armeria,ciliata,species,,(Lange) Nieto Fel.,Plantae
214,Armeria duriaei Boiss.,Plumbaginaceae,Armeria,duriaei,species,,Boiss.,Plantae
215,Armeria humilis (Link) Schult. subsp. humilis,Plumbaginaceae,Armeria,humilis,subsp.,humilis,(Link) Schult.,Plantae
216,Armeria humilis (Link) Schult. subsp. odorata (Samp.) Pinto da Silva,Plumbaginaceae,Armeria,humilis,subsp.,odorata,(Samp.) Pinto da Silva,Plantae
217,Armeria langei Boiss. ex Lange subsp. daveaui (Cout.) Pinto da Silva,Plumbaginaceae,Armeria,langei,subsp.,daveaui,(Cout.) Pinto da Silva,Plantae
218,Armeria maritima (Mill.) Willd.,Plumbaginaceae,Armeria,maritima,species,,(Mill.) Willd.,Plantae
219,Armeria merinoi (Bernis) Nieto Fel. & Silva Pando,Plumbaginaceae,Armeria,merinoi,species,,(Bernis) Nieto Fel. & Silva Pando,Plantae
220,Armeria pubigera (Desf.) Boiss.,Plumbaginaceae,Armeria,pubigera,species,,(Desf.) Boiss.,Plantae
221,Armeria pungens (Link) Hoffmanns. & Link,Plumbaginaceae,Armeria,pungens,species,,(Link) Hoffmanns. & Link,Plantae
222,Armeria rothmaleri Nieto Fel.,Plumbaginaceae,Armeria,rothmaleri,species,,Nieto Fel.,Plantae
223,Armeria transmontana (Samp.) G.H.M. Lawr.,Plumbaginaceae,Armeria,transmontana,species,,(Samp.) G.H.M. Lawr.,Plantae
224,Arnica montana L. subsp. atlantica A. Bolòs,Compositae,Arnica,montana,subsp.,atlantica,A. Bolòs,Plantae
225,Arnoseris minima (L.) Schweigg. & Körte,Compositae,Arnoseris,minima,species,,(L.) Schweigg. & Körte,Plantae
226,Arrhenatherum elatius (L.) J. Presl & C. Presl subsp. elatius,Gramineae,Arrhenatherum,elatius,subsp.,elatius,(L.) J. Presl & C. Presl,Plantae
227,Arrhenatherum elatius (L.) J. Presl & C. Presl subsp. bulbosum (Willd.) Schübler & G. Martens,Gramineae,Arrhenatherum,elatius,subsp.,bulbosum,(Willd.) Schübler & G. Martens,Plantae
228,Artemisia abrotanum L.,Compositae,Artemisia,abrotanum,species,,L.,Plantae
229,Artemisia absinthium L.,Compositae,Artemisia,absinthium,species,,L.,Plantae
230,Artemisia alba Turra,Compositae,Artemisia,alba,species,,Turra,Plantae
231,Artemisia campestris L.,Compositae,Artemisia,campestris,species,,L.,Plantae
233,Artemisia crithmifolia L.,Compositae,Artemisia,crithmifolia,species,,L.,Plantae
234,Artemisia verlotiorum Lamotte,Compositae,Artemisia,verlotiorum,species,,Lamotte,Plantae
235,Artemisia vulgaris L.,Compositae,Artemisia,vulgaris,species,,L.,Plantae
237,Arum italicum Mill.,Araceae,Arum,italicum,species,,Mill.,Plantae
238,Arum cylindraceum Gasp.,Araceae,Arum,cylindraceum,species,,Gasp.,Plantae
239,Arundo donax L.,Gramineae,Arundo,donax,species,,L.,Plantae
240,Asparagus acutifolius L.,Liliaceae,Asparagus,acutifolius,species,,L.,Plantae
241,Asparagus aphyllus L. subsp. aphyllus,Liliaceae,Asparagus,aphyllus,subsp.,aphyllus,L.,Plantae
242,Asparagus officinalis L. subsp. officinalis,Liliaceae,Asparagus,officinalis,subsp.,officinalis,L.,Plantae
243,Asparagus prostratus Dumort.,Liliaceae,Asparagus,prostratus,species,,Dumort.,Plantae
246,Asperula aristata L. fil. subsp. scabra (J. & C. Presl) Nyman,Rubiaceae,Asperula,aristata,subsp.,scabra,(J. & C. Presl) Nyman,Plantae
247,Asperula arvensis L.,Rubiaceae,Asperula,arvensis,species,,L.,Plantae
251,Asphodelus albus Mill. subsp. occidentalis (Jord.) Z. Díaz & Valdés,Liliaceae,Asphodelus,albus,subsp.,occidentalis,(Jord.) Z. Díaz & Valdés,Plantae
252,Asphodelus lusitanicus Cout.,Liliaceae,Asphodelus,lusitanicus,species,,Cout.,Plantae
255,Asphodelus macrocarpus Parl. subsp. macrocarpus,Liliaceae,Asphodelus,macrocarpus,subsp.,macrocarpus,Parl.,Plantae
257,Asplenium adiantum-nigrum L. var. adiantum-nigrum,Aspleniaceae,Asplenium,adiantum-nigrum,var.,adiantum-nigrum,L.,Plantae
258,Asplenium adiantum-nigrum L. var. corunnense H. Christ,Aspleniaceae,Asplenium,adiantum-nigrum,var.,corunnense,H. Christ,Plantae
259,Asplenium billotii F.W. Schultz,Aspleniaceae,Asplenium,billotii,species,,F.W. Schultz,Plantae
263,Asplenium marinum L.,Aspleniaceae,Asplenium,marinum,species,,L.,Plantae
264,Asplenium onopteris L.,Aspleniaceae,Asplenium,onopteris,species,,L.,Plantae
265,Asplenium ruta-muraria L.,Aspleniaceae,Asplenium,ruta-muraria,species,,L.,Plantae
266,Asplenium septentrionale (L.) Hoffm.,Aspleniaceae,Asplenium,septentrionale,species,,(L.) Hoffm.,Plantae
267,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey.,Aspleniaceae,Asplenium,trichomanes,subsp.,quadrivalens,D.E. Mey.,Plantae
268,Asplenium trichomanes L. subsp. trichomanes,Aspleniaceae,Asplenium,trichomanes,subsp.,trichomanes,L.,Plantae
269,Aster amellus L.,Compositae,Aster,amellus,species,,L.,Plantae
270,Aster aragonensis Asso,Compositae,Aster,aragonensis,species,,Asso,Plantae
271,Aster dumosus x novi-belgii,Compositae,Aster,,hybrid,,,Plantae
273,Aster sedifolius L.,Compositae,Aster,sedifolius,species,,L.,Plantae
274,Symphyotricum squamatum (Spreng.) G.L.Nesom,Compositae,Symphyotricum,squamatum,species,,(Spreng.) G.L.Nesom,Plantae
276,Aster tripolium L.,Compositae,Aster,tripolium,species,,L.,Plantae
277,Asterolinon linum-stellatum (L.) Duby,Primulaceae,Asterolinon,linum-stellatum,species,,(L.) Duby,Plantae
278,Astragalus glycyphyllos L.,Leguminosae,Astragalus,glycyphyllos,species,,L.,Plantae
280,Astrantia major L.,Umbelliferae,Astrantia,major,species,,L.,Plantae
281,Athyrium filix-femina (L.) Roth,Athyriaceae,Athyrium,filix-femina,species,,(L.) Roth,Plantae
282,Atriplex halimus L.,Chenopodiaceae,Atriplex,halimus,species,,L.,Plantae
284,Atriplex laciniata L.,Chenopodiaceae,Atriplex,laciniata,species,,L.,Plantae
285,Atriplex patula L.,Chenopodiaceae,Atriplex,patula,species,,L.,Plantae
286,Atriplex prostrata Boucher,Chenopodiaceae,Atriplex,prostrata,species,,Boucher,Plantae
287,Atriplex rosea L.,Chenopodiaceae,Atriplex,rosea,species,,L.,Plantae
289,Avena sterilis L. subsp. ludoviciana (Durieu) Gillet & Magne,Gramineae,Avena,sterilis,subsp.,ludoviciana,(Durieu) Gillet & Magne,Plantae
291,Avena barbata Pott ex Link subsp. barbata,Gramineae,Avena,barbata,subsp.,barbata,Pott ex Link,Plantae
292,Avena barbata Pott subsp. atherantha (C. Presl) Rocha Afonso,Gramineae,Avena,barbata,subsp.,atherantha,(C. Presl) Rocha Afonso,Plantae
294,Avena fatua L.,Gramineae,Avena,fatua,species,,L.,Plantae
295,Avena sativa L.,Gramineae,Avena,sativa,species,,L.,Plantae
298,Avena strigosa Schreb.,Gramineae,Avena,strigosa,species,,Schreb.,Plantae
302,Avenula sulcata (J. Gay ex Boiss.) Dumort.,Gramineae,Avenula,sulcata,species,,(J. Gay ex Boiss.) Dumort.,Plantae
303,Axonopus fissifolius (Raddi) Kuhlm.,Gramineae,Axonopus,fissifolius,species,,(Raddi) Kuhlm.,Plantae
304,Bacopa monnieri (L.) Pennell,Scrophulariaceae,Bacopa,monnieri,species,,(L.) Pennell,Plantae
305,Baldellia alpestris (Coss.) M. Laínz,Alismataceae,Baldellia,alpestris,species,,(Coss.) M. Laínz,Plantae
307,Ballota nigra L.,Labiatae,Ballota,nigra,species,,L.,Plantae
309,Barbarea intermedia Boreau,Cruciferae,Barbarea,intermedia,species,,Boreau,Plantae
310,Barbarea verna (Mill.) Ascherson,Cruciferae,Barbarea,verna,species,,(Mill.) Ascherson,Plantae
311,Barbarea vulgaris R. Br.,Cruciferae,Barbarea,vulgaris,species,,R. Br.,Plantae
313,Bartsia trixago L.,Scrophulariaceae,Bartsia,trixago,species,,L.,Plantae
316,Bellis perennis L.,Compositae,Bellis,perennis,species,,L.,Plantae
317,Bellis sylvestris Cirillo subsp. pappulosa (Boiss. ex DC.) Coste,Compositae,Bellis,sylvestris,subsp.,pappulosa,(Boiss. ex DC.) Coste,Plantae
318,Berberis vulgaris L.,Berberidaceae,Berberis,vulgaris,species,,L.,Plantae
319,Berula erecta (Huds.) Coville,Umbelliferae,Berula,erecta,species,,(Huds.) Coville,Plantae
320,Beta maritima L.,Chenopodiaceae,Beta,maritima,species,,L.,Plantae
321,Beta vulgaris L.,Chenopodiaceae,Beta,vulgaris,species,,L.,Plantae
322,Betula alba L.,Betulaceae,Betula,alba,species,,L.,Plantae
323,Bidens aurea (Aiton) Sherff,Compositae,Bidens,aurea,species,,(Aiton) Sherff,Plantae
325,Bidens pilosa L.,Compositae,Bidens,pilosa,species,,L.,Plantae
326,Bidens tripartita L.,Compositae,Bidens,tripartita,species,,L.,Plantae
327,Bifora testiculata (L.) Roth,Umbelliferae,Bifora,testiculata,species,,(L.) Roth,Plantae
328,Biscutella valentina (Loefl.ex L.) Heywood subsp. valentina,Cruciferae,Biscutella,valentina,subsp.,valentina,(Loefl.ex L.) Heywood,Plantae
329,Astragalus pelecinus (L.) Barneby subsp. pelecinus,Leguminosae,Astragalus,pelecinus,subsp.,pelecinus,(L.) Barneby,Plantae
330,Blackstonia perfoliata (L.) Huds. subsp. perfoliata,Gentianaceae,Blackstonia,perfoliata,subsp.,perfoliata,(L.) Huds.,Plantae
333,Struthiopteris spicant var. homophyllum (Merino) Gabriel y Galán & Pino,Blechnaceae,Struthiopteris,spicant,var.,homophyllum,(Merino) Gabriel y Galán & Pino,Plantae
334,Struthiopteris spicant (L.) F.W. Weiss,Blechnaceae,Struthiopteris,spicant,species,,(L.) F.W. Weiss,Plantae
335,Bombycilaena erecta (L.) Smoljan.,Compositae,Bombycilaena,erecta,species,,(L.) Smoljan.,Plantae
336,Borago officinalis L.,Boraginaceae,Borago,officinalis,species,,L.,Plantae
337,Botrychium lunaria (L.) Sw.,Ophioglossaceae,Botrychium,lunaria,species,,(L.) Sw.,Plantae
338,Boussingaultia cordifolia Ten.,Basellaceae,Boussingaultia,cordifolia,species,,Ten.,Plantae
339,Brachypodium distachyon (L.) P. Beauv.,Gramineae,Brachypodium,distachyon,species,,(L.) P. Beauv.,Plantae
340,Brachypodium phoenicoides (L.) Roem. & Schult.,Gramineae,Brachypodium,phoenicoides,species,,(L.) Roem. & Schult.,Plantae
341,Brachypodium pinnatum (L.) P. Beauv.,Gramineae,Brachypodium,pinnatum,species,,(L.) P. Beauv.,Plantae
342,Brachypodium sylvaticum (Huds.) P. Beauv. subsp. sylvaticum,Gramineae,Brachypodium,sylvaticum,subsp.,sylvaticum,(Huds.) P. Beauv.,Plantae
